Adauga angajat,Sun May 24 15:19:49 EEST 2020
Adauga angajat.,Mon May 25 00:29:37 EEST 2020
Cauta angajat.,Mon May 25 00:31:23 EEST 2020
Update angajat.,Mon May 25 00:32:52 EEST 2020
Sterge angajat.,Mon May 25 00:33:57 EEST 2020
Adauga client.,Mon May 25 00:40:21 EEST 2020
Cauta client.,Mon May 25 00:41:15 EEST 2020
Update client.,Mon May 25 00:42:09 EEST 2020
Sterge client.,Mon May 25 00:48:53 EEST 2020
Adauga banca.,Mon May 25 00:50:13 EEST 2020
Cauta banca.,Mon May 25 00:50:37 EEST 2020
Update banca.,Mon May 25 00:56:08 EEST 2020
Sterge banca.,Mon May 25 00:56:57 EEST 2020
Adauga un cont de economii.,Mon May 25 00:57:47 EEST 2020
Cauta cont de economii.,Mon May 25 00:58:32 EEST 2020
Update cont economii.,Mon May 25 00:59:54 EEST 2020
Sterge cont economii.,Mon May 25 01:00:27 EEST 2020
Afiseaza toti angajatii unei banci.,Mon May 25 01:01:07 EEST 2020
Afiseaza toti clinetii unei banci.,Mon May 25 01:01:54 EEST 2020
Afiseaza toate conturile de economii ale unui client.,Mon May 25 01:02:54 EEST 2020
Adauga plata.,Mon May 25 01:05:28 EEST 2020
Adauga plata.,Mon May 25 01:07:10 EEST 2020
Afisare plati.,Mon May 25 01:07:30 EEST 2020
Adauga cont credit,Mon May 25 01:11:33 EEST 2020
Afiseaza conturi credit.,Mon May 25 01:11:43 EEST 2020
Adauga cont credit,Mon May 25 01:12:15 EEST 2020
Afiseaza conturi credit.,Mon May 25 01:12:22 EEST 2020
Adauga cont credit,Mon May 25 01:54:41 EEST 2020
Adauga cont credit,Mon May 25 01:55:21 EEST 2020
Afiseaza conturi credit.,Mon May 25 01:55:34 EEST 2020
Adauga plata.,Mon May 25 02:01:59 EEST 2020
Adauga plata.,Mon May 25 02:02:25 EEST 2020
Afisare plati.,Mon May 25 02:02:31 EEST 2020
Adauga cont credit,Mon May 25 02:03:28 EEST 2020
Afiseaza conturi credit.,Mon May 25 02:03:36 EEST 2020
Adauga cont credit,Mon May 25 02:04:20 EEST 2020
